,monetaryShock,Constant,intervention,UIPdev,exchgrt
1990-01-15,0.07420585842526783,1,0.11950000000000016,0.23649999999999993,1.6705
1990-02-15,0.11043292524493786,1,0.11949999999999994,0.29600000000000004,1.696
1990-03-15,0.05020276393955392,1,0.007500000000000062,0.24750000000000005,1.611
1990-04-15,-0.005619475936063267,1,-0.028500000000000192,0.13550000000000018,1.642
1990-05-15,0.18447942766396608,1,-0.014499999999999957,0.03750000000000009,1.6815
1990-06-15,-0.06908698686292247,1,0.09200000000000008,-0.05750000000000011,1.703
1990-07-15,0.05169426395973531,1,0.15400000000000014,-0.14650000000000007,1.796
1990-08-15,0.13677531662414566,1,0.18900000000000006,-0.1725000000000001,1.8705
1990-09-15,-0.019049193056343228,1,0.16149999999999998,-0.131,1.8645
1990-10-15,-0.22780682325039958,1,0.17799999999999994,-0.25449999999999995,1.974
1990-11-15,-0.4237639358985401,1,0.09199999999999986,-0.1895,1.9625
1990-12-15,-0.33259351901896483,1,0.0794999999999999,-0.135,1.944
1991-01-15,-0.5980650939875023,1,-0.06699999999999995,-0.11299999999999999,1.907
1991-02-15,-0.07409414277035964,1,0.02950000000000008,-0.20350000000000001,1.992
1991-03-15,-0.15329993898436012,1,-0.08549999999999991,-0.15000000000000013,1.8585
1991-04-15,-0.07956237156782375,1,-0.12949999999999995,-0.013500000000000068,1.7775
1991-05-15,0.16486729401489963,1,-0.2729999999999999,0.09349999999999992,1.719
1991-06-15,-0.03289127808928516,1,-0.21300000000000008,0.20650000000000013,1.6455
1991-07-15,-0.11166274515420671,1,-0.1280000000000001,0.272,1.6495
1991-08-15,-0.165718189202666,1,-0.02100000000000013,0.22999999999999998,1.698
1991-09-15,-0.20068129396403567,1,0.08800000000000008,0.1904999999999999,1.7335
1991-10-15,-0.36189050076596807,1,0.07000000000000006,-0.014499999999999957,1.7195
1991-11-15,-0.3519293722136938,1,0.07499999999999996,-0.2489999999999999,1.773
1991-12-15,-0.3752751061914523,1,0.0754999999999999,-0.25049999999999994,1.809
1992-01-15,0.05229598042246941,1,0.07450000000000001,-0.254,1.794
1992-02-15,-0.05959285772833445,1,0.01550000000000007,-0.37050000000000005,1.7885
1992-03-15,-0.23387575718819553,1,-0.10050000000000003,-0.27449999999999997,1.7085
1992-04-15,0.10251544834264825,1,-0.030000000000000027,-0.2390000000000001,1.764
1992-05-15,-0.045501979109543456,1,0.02400000000000002,-0.2789999999999999,1.8125
1992-06-15,-0.49656116300113284,1,0.14350000000000018,-0.3265,1.852
1992-07-15,0.05265101103122438,1,0.15749999999999997,-0.4435,1.9215
1992-08-15,-0.07325816942015972,1,0.11549999999999994,-0.46499999999999986,1.928
1992-09-15,-0.11429514534244634,1,0.07199999999999984,-0.375,1.924
1992-10-15,-0.01009690098534044,1,-0.21649999999999991,-0.17300000000000004,1.705
1992-11-15,-0.1684468969308628,1,-0.4039999999999999,-0.040999999999999925,1.524
1992-12-15,0.10097009203090357,1,-0.36549999999999994,-0.06349999999999989,1.5585
1993-01-15,0.010113367084498837,1,-0.16500000000000004,-0.03869999999999996,1.54
1993-02-15,0.04208311347941418,1,-0.1060000000000001,0.04830000000000001,1.418
1993-03-15,-0.10490420852047144,1,-0.12450000000000006,0.0685,1.434
1993-04-15,0.04045820559333091,1,-0.015000000000000124,-0.04974999999999996,1.525
1993-05-15,0.04399284994211117,1,0.11550000000000016,-0.03410000000000002,1.5335
1993-06-15,0.028043326732803298,1,0.09150000000000014,-0.01750000000000007,1.5255
1993-07-15,-0.02222773446108839,1,-0.04699999999999993,0.09450000000000003,1.478
1993-08-15,0.06755948515303078,1,-0.07050000000000001,0.08365,1.463
1993-09-15,-0.09057523072717322,1,0.023499999999999854,0.013550000000000173,1.549
1993-10-15,0.033050148702952864,1,0.05400000000000005,0.04854999999999987,1.532
1993-11-15,-0.05464316016214976,1,0.020000000000000018,0.11634999999999995,1.483
1993-12-15,0.0947616570494989,1,-0.053999999999999826,0.06894999999999984,1.495
1994-01-15,0.20917157534523145,1,-0.03069999999999995,0.06755,1.5013
1994-02-15,0.1003358504106453,1,-0.01670000000000016,0.09450000000000003,1.4663
1994-03-15,0.2304864460139151,1,0.00749999999999984,0.07885000000000009,1.5025
1994-04-15,0.4668437790847646,1,-0.02605000000000013,0.11309999999999998,1.47525
1994-05-15,0.26331307090683653,1,0.03310000000000013,0.07299999999999995,1.4994
1994-06-15,0.036321839126427946,1,0.00550000000000006,0.08844999999999992,1.508
1994-07-15,0.23620611312933626,1,0.09725000000000006,0.01905000000000001,1.5725
1994-08-15,0.28875559313558785,1,0.047250000000000014,0.030649999999999844,1.54665
1994-09-15,0.06629354580209323,1,0.0545500000000001,-0.009350000000000191,1.56255
1994-10-15,0.5673371801695613,1,0.00804999999999989,-0.00814999999999988,1.58055
1994-11-15,0.20411743233261959,1,0.05269999999999997,-0.024050000000000127,1.59935
1994-12-15,0.126221314947216,1,0.0013999999999998458,-0.03254999999999986,1.56395
1995-01-15,0.43734545627095933,1,-0.011699999999999822,-0.021700000000000053,1.56885
1995-02-15,0.11609569135451014,1,-0.038550000000000084,-0.02994999999999992,1.5608
1995-03-15,0.1286805322040152,1,0.017400000000000082,-0.06150000000000011,1.58135
1995-04-15,0.018554397941989542,1,0.01949999999999985,-0.07704999999999984,1.58835
1995-05-15,0.0503934158776973,1,0.011600000000000055,-0.04984999999999995,1.5724
1995-06-15,-0.08978880151911994,1,0.015099999999999891,-0.06194999999999995,1.59645
1995-07-15,-0.04979930513792663,1,0.0032000000000000917,-0.03925000000000001,1.59155
