,monetaryShock,Constant,intervention
1990-01-15,0.12527833934105992,1,0.11950000000000016
1990-02-15,0.10611653001360466,1,0.11949999999999994
1990-03-15,0.04682829530221788,1,0.007500000000000062
1990-04-15,-0.01169517998709324,1,-0.028500000000000192
1990-05-15,0.1721465622817302,1,-0.014499999999999957
1990-06-15,-0.04820936930041242,1,0.09200000000000008
1990-07-15,0.06868792095575671,1,0.15400000000000014
1990-08-15,0.17685619880539605,1,0.18900000000000006
1990-09-15,0.018535468090355778,1,0.16149999999999998
1990-10-15,-0.1635546659229874,1,0.17799999999999994
1990-11-15,-0.35819204403353666,1,0.09199999999999986
1990-12-15,-0.2512199961948367,1,0.0794999999999999
1991-01-15,-0.5122000715324315,1,-0.06699999999999995
1991-02-15,-0.006789484384873923,1,0.02950000000000008
1991-03-15,-0.07221672914729727,1,-0.08549999999999991
1991-04-15,0.009983234190561241,1,-0.12949999999999995
1991-05-15,0.23936840471259302,1,-0.2729999999999999
1991-06-15,0.025231129217266002,1,-0.21300000000000008
1991-07-15,-0.06009148915341633,1,-0.1280000000000001
1991-08-15,-0.10463930774684815,1,-0.02100000000000013
1991-09-15,-0.1645087158767229,1,0.08800000000000008
1991-10-15,-0.3310271456201015,1,0.07000000000000006
1991-11-15,-0.3066058626495014,1,0.07499999999999996
1991-12-15,-0.33453500077202225,1,0.0754999999999999
1992-01-15,0.08788614102738057,1,0.07450000000000001
1992-02-15,-0.024205226614082864,1,0.01550000000000007
1992-03-15,-0.2071308020828444,1,-0.10050000000000003
1992-04-15,0.09723807817297603,1,-0.030000000000000027
1992-05-15,-0.046848115624655406,1,0.02400000000000002
1992-06-15,-0.48656396259180656,1,0.14350000000000018
1992-07-15,0.02457427605334095,1,0.15749999999999997
1992-08-15,-0.07937061772745047,1,0.11549999999999994
1992-09-15,-0.12063330480675827,1,0.07199999999999984
1992-10-15,-0.020188416308608126,1,-0.21649999999999991
1992-11-15,-0.19070099809203933,1,-0.4039999999999999
1992-12-15,0.07019918067120612,1,-0.36549999999999994
1993-01-15,-0.005780648271394462,1,-0.16500000000000004
1993-02-15,0.014783242776318595,1,-0.1060000000000001
1993-03-15,-0.1205712175121314,1,-0.12450000000000006
1993-04-15,0.033387783805951976,1,-0.015000000000000124
1993-05-15,0.0550930174946167,1,0.11550000000000016
1993-06-15,0.03294832777259327,1,0.09150000000000014
1993-07-15,-0.010810344041489284,1,-0.04699999999999993
1993-08-15,0.09587380036279392,1,-0.07050000000000001
1993-09-15,-0.06787044643186002,1,0.023499999999999854
1993-10-15,0.05642417412154277,1,0.05400000000000005
1993-11-15,-0.04100090102167897,1,0.020000000000000018
1993-12-15,0.09587029167610428,1,-0.053999999999999826
1994-01-15,0.2003197770301175,1,-0.03069999999999995
1994-02-15,0.12733139035219043,1,-0.01670000000000016
1994-03-15,0.24086985813531792,1,0.00749999999999984
1994-04-15,0.4667474415421098,1,-0.02605000000000013
1994-05-15,0.2859847292650852,1,0.03310000000000013
1994-06-15,0.06428652605825924,1,0.00550000000000006
1994-07-15,0.2751544240071597,1,0.09725000000000006
1994-08-15,0.3330423567025891,1,0.047250000000000014
1994-09-15,0.10783747612023831,1,0.0545500000000001
1994-10-15,0.5856767906661329,1,0.00804999999999989
1994-11-15,0.24874583230835867,1,0.05269999999999997
1994-12-15,0.15084067724395922,1,0.0013999999999998458
1995-01-15,0.47521017404027255,1,-0.011699999999999822
1995-02-15,0.1868055003160185,1,-0.038550000000000084
1995-03-15,0.20496167687554312,1,0.017400000000000082
1995-04-15,0.12429561897485186,1,0.01949999999999985
1995-05-15,0.1424161836009068,1,0.011600000000000055
1995-06-15,0.0022883811038028057,1,0.015099999999999891
1995-07-15,0.0568389286316906,1,0.0032000000000000917
1995-08-15,0.1909508715170425,1,0.004899999999999904
1995-09-15,0.08973562345315944,1,-0.04325000000000001
1995-10-15,0.19139200565945114,1,-0.01915
1995-11-15,-0.04876177922971614,1,-0.0020000000000000018
1995-12-15,0.09804885705391442,1,-0.02179999999999982
1996-01-15,-0.1476070532162881,1,-0.025249999999999995
1996-02-15,0.20169220246211772,1,-0.04444999999999988
1996-03-15,0.05087783146634983,1,-0.011550000000000171
1996-04-15,0.1378924027881272,1,-0.03584999999999994
1996-05-15,0.12549056447317586,1,-0.008299999999999974
1996-06-15,0.20897536230561453,1,0.014650000000000052
1996-07-15,-0.07462702754039352,1,0.040999999999999925
1996-08-15,0.1628263637876115,1,0.029349999999999987
1996-09-15,0.024757125643082745,1,0.02079999999999993
1996-10-15,0.16674032437456088,1,0.02299999999999991
1996-11-15,0.06101338602755124,1,0.0948
1996-12-15,0.024962346751962627,1,0.10289999999999999
1997-01-15,0.007737975611129322,1,0.10499999999999998
1997-02-15,0.23115523456968834,1,-0.0132000000000001
1997-03-15,0.14375325240478354,1,-0.06519999999999992
1997-04-15,0.033950161400741585,1,-0.05535000000000001
1997-05-15,0.0911595723010894,1,-0.00869999999999993
1997-06-15,-0.001063747108532631,1,0.04184999999999994
1997-07-15,0.03720294205496355,1,0.06965000000000021
1997-08-15,-0.003431539774671144,1,-0.046499999999999986
1997-09-15,-0.06564181291267168,1,-0.026249999999999885
1997-10-15,-0.032811586163312256,1,-0.07365000000000022
1997-11-15,-0.0969708984666493,1,0.12785000000000002
1997-12-15,-0.019638411235056275,1,0.04359999999999986
1998-01-15,-0.13040108100504177,1,-0.002449999999999841
1998-02-15,-0.10012159095298312,1,-0.06625000000000014
1998-03-15,-0.10995270084555386,1,0.0049000000000001265
1998-04-15,-0.026951266402459595,1,0.05600000000000005
